label,count,mean,std,min,25%,50%,75%,max
Case,248754.0,-0.12804630341318446,1.0552756505065932,-4.854706420917959,-0.8417279031971571,-0.12805257818134802,0.58516769058705,5.163394830187274
Control,248817.0,0.7019556007521454,1.0508203083355288,-3.7527999080251617,-0.00628897684315155,0.7029752096545494,1.4084909617621126,5.76129056571058
